#For superellipsoids (12 columns:rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3)
2.512397e-04	4.252781e-04	3.422674e-04	1.680723e+00	9.087815e-01	3.896818e-03	3.992958e-03	2.132389e-03	-5.270676e-01	1.630529e-01	7.088726e-01	-4.394464e-01
2.384505e-04	2.725162e-04	4.419194e-04	1.349930e+00	7.479129e-01	6.402062e-03	2.943027e-03	7.105131e-03	-7.211699e-01	-3.940217e-01	-3.311145e-01	4.637068e-01
2.107821e-04	2.675779e-04	3.348519e-04	9.524430e-01	9.704212e-01	4.504948e-03	2.131970e-03	2.587733e-03	-3.519410e-02	-1.977721e-02	-3.008900e-02	-9.987316e-01
2.561600e-04	3.436943e-04	4.469319e-04	1.526918e+00	1.538521e+00	4.720868e-03	4.385133e-03	7.499262e-03	4.915125e-01	4.902082e-01	-1.251005e-01	-7.088450e-01
3.335381e-04	3.199140e-04	2.165378e-04	1.334930e+00	1.462396e+00	5.443199e-03	2.105058e-03	2.914131e-03	4.198534e-01	7.171587e-01	6.430926e-03	5.562060e-01
2.679196e-04	2.570512e-04	2.006631e-04	1.652634e+00	6.937455e-01	4.611422e-03	3.885815e-03	3.054247e-03	6.115258e-01	2.603504e-01	7.209599e-01	-1.961393e-01
3.761618e-04	3.856147e-04	3.282756e-04	8.500878e-01	1.287570e+00	4.456369e-03	7.174892e-03	4.432795e-03	1.909391e-01	6.175930e-01	7.561717e-01	-1.016140e-01
2.716836e-04	3.788816e-04	3.003479e-04	1.390984e+00	9.441047e-01	4.122014e-03	4.513034e-03	7.481183e-03	2.458469e-01	-3.489713e-01	7.040778e-01	5.674969e-01
2.418910e-04	3.649754e-04	2.457912e-04	1.655566e+00	1.087752e+00	2.521079e-03	4.500467e-03	4.215177e-03	2.721126e-01	-7.093113e-01	-5.193544e-01	3.912840e-01
3.468489e-04	4.055341e-04	2.494251e-04	1.588305e+00	1.207914e+00	2.446220e-03	3.664148e-03	4.482924e-03	-8.937044e-01	3.153614e-01	-2.952297e-01	-1.211567e-01
2.521910e-04	3.725420e-04	2.884285e-04	1.255373e+00	1.544365e+00	6.705758e-03	3.321129e-03	5.260775e-03	9.097119e-01	-1.107107e-01	1.496663e-01	3.711703e-01
2.243313e-04	2.030228e-04	4.326875e-04	6.563043e-01	8.266253e-01	7.152379e-03	6.106381e-03	7.419901e-03	6.492199e-01	2.764638e-01	3.186286e-01	-6.328958e-01
3.311418e-04	4.105870e-04	2.506632e-04	1.696420e+00	1.370506e+00	7.117069e-03	3.672087e-03	3.541051e-03	4.466152e-01	4.333507e-02	-6.656539e-01	-5.962901e-01
2.177155e-04	3.498753e-04	3.514546e-04	8.736655e-01	7.284577e-01	4.038375e-03	6.045905e-03	4.427411e-03	5.949717e-01	-4.751675e-01	-3.604365e-02	6.472445e-01
2.090818e-04	3.371943e-04	4.037266e-04	1.343432e+00	1.166750e+00	4.751877e-03	4.426895e-03	6.518317e-03	2.891404e-01	8.839603e-01	3.196592e-01	1.811902e-01
2.320452e-04	2.711316e-04	3.015387e-04	6.378047e-01	6.197137e-01	4.228638e-03	2.135566e-03	7.113333e-03	9.255844e-01	-4.244733e-03	3.784581e-01	-6.710680e-03
4.124349e-04	2.187519e-04	4.184064e-04	1.441309e+00	1.289582e+00	3.016932e-03	5.117198e-03	6.562002e-03	-7.404032e-01	-4.076562e-01	-4.300047e-01	-3.173570e-01
3.057733e-04	3.860399e-04	2.388818e-04	1.676784e+00	1.373675e+00	3.564474e-03	4.590580e-03	3.232239e-03	-1.053331e-01	-3.665509e-01	2.708928e-02	-9.240192e-01
2.797114e-04	2.435688e-04	2.589982e-04	1.518425e+00	1.497313e+00	3.829235e-03	6.166825e-03	3.980368e-03	3.027041e-01	1.656154e-01	2.454538e-02	-9.382640e-01
4.056448e-04	3.319313e-04	2.011409e-04	7.607688e-01	7.688488e-01	4.437799e-03	3.516950e-03	6.238070e-03	-7.472604e-01	6.506650e-01	1.350064e-01	-3.196417e-03
